County_FIPS,State,Overlap_Total,Overlap_vs_Fiber,Overlap_vs_HFC,Group_A_Fiber,Group_B_Total
06037,CA,654167,7040,647127,656091,2028228
12057,FL,399042,9084,389958,403057,460907
06065,CA,385283,4903,380380,410739,689768
06071,CA,343464,2387,341077,351641,586027
36081,NY,285392,1405,283987,285478,309519
51059,VA,227204,2132,225072,241579,238365
12101,FL,194098,8302,185796,196173,249074
12103,FL,170593,1026,169567,170608,339712
36029,NY,157057,1091,155966,157423,323206
44007,RI,156166,2086,154080,160520,166367
12105,FL,154088,2468,151620,169106,282220
48113,TX,138884,1443,137441,139667,652330
36067,NY,113027,742,112285,114720,158415
36085,NY,112046,413,111633,112080,116646
12081,FL,111990,7084,104906,115862,164326
48121,TX,110043,4646,105397,129125,202219
48085,TX,108625,1964,106661,112267,285682
36055,NY,97856,446,97410,98239,246723
51810,VA,94996,1077,93919,95718,134280
06059,CA,91074,1206,89868,91168,711975
06111,CA,87813,941,86872,89164,222712
09003,CT,79372,3827,75545,192281,108959
48439,TX,66573,8134,58439,76192,617345
51550,VA,57807,1744,56063,59035,77304
44003,RI,55668,631,55037,56945,58260
36047,NY,50438,1064,49374,214195,70038
36001,NY,49649,389,49260,49931,92956
44009,RI,47842,353,47489,50703,51904
25027,MA,44281,156,44125,80816,163102
51700,VA,44256,433,43823,44980,48335
36071,NY,38126,260,37866,45515,77885
36093,NY,34960,178,34782,35379,52183
37063,NC,31674,1518,30156,33149,99779
09001,CT,31517,37,31480,209018,42370
34003,NJ,30823,216,30607,213692,34790
51650,VA,30073,241,29832,30561,44516
06083,CA,27806,2362,25444,57636,52278
51740,VA,23525,190,23335,23803,32473
09005,CT,22967,59,22908,54929,32287
09009,CT,21686,255,21431,189274,31878
18167,IN,20168,106,20062,20196,36018
09015,CT,19940,53,19887,33875,24940
51199,VA,17678,214,17464,18138,23389
39101,OH,16616,50,16566,17084,22253
27037,MN,16457,155,16302,19349,57798
09013,CT,16329,42,16287,35970,21280
39157,OH,15084,223,14861,16072,34456
55073,WI,13689,81,13608,13727,42784
06085,CA,13595,181,13414,24406,30609
36027,NY,13475,99,13376,41130,24243
36011,NY,13113,720,12393,16121,24142
47141,TN,13059,87,12972,13315,28286
36019,NY,12977,223,12754,13716,27975
51179,VA,12962,206,12756,37177,15611
39077,OH,12691,120,12571,13185,20334
48209,TX,12659,11,12648,12662,83196
48215,TX,12556,49,12507,12558,262208
48427,TX,12295,113,12182,12355,20668
48465,TX,11898,115,11783,11945,17559
36061,NY,11836,1246,10590,11856,37320
54033,WV,10742,30,10712,16300,18889
45045,SC,10176,46,10130,10315,194263
39041,OH,9842,82,9760,9983,70405
36119,NY,9749,47,9702,180707,10352
36051,NY,9623,291,9332,10166,21056
47035,TN,9617,2190,7427,16788,17478
36035,NY,9597,380,9217,11043,22699
54049,WV,9271,30,9241,11265,12269
45051,SC,9069,154,8915,9070,125736
39145,OH,8982,184,8798,9273,26147
36091,NY,8642,109,8533,8852,88286
55059,WI,8619,22,8597,8681,55598
26155,MI,8618,24,8594,8740,17879
36069,NY,8178,561,7617,8383,42847
26049,MI,8043,20,8023,10074,42272
39103,OH,7240,117,7123,13317,45546
48355,TX,7239,40,7199,7311,118240
48409,TX,6924,187,6737,15172,15307
39059,OH,6545,1428,5117,8967,14159
51600,VA,6365,129,6236,6409,6817
39109,OH,6212,62,6150,6395,40666
39171,OH,6055,90,5965,6316,11522
51630,VA,6051,180,5871,6250,7050
39033,OH,5976,69,5907,6051,16127
39113,OH,5747,30,5717,5822,202842
39123,OH,5703,51,5652,5724,26939
06107,CA,5439,6,5433,6220,41191
39079,OH,5351,141,5210,5486,12192
48171,TX,5157,45,5112,5441,7268
26149,MI,5066,33,5033,9697,8003
25017,MA,5003,19,4984,313493,9383
55071,WI,4880,36,4844,4951,11428
39143,OH,4585,26,4559,4670,22074
48367,TX,4572,898,3674,11856,25491
51735,VA,4545,89,4456,4776,4681
06015,CA,4337,15,4322,4354,9630
06029,CA,4241,6,4235,10073,225701
26105,MI,4143,47,4096,4218,10878
26121,MI,4093,40,4053,41488,9600
55115,WI,3760,10,3750,3762,12220
